BDM,region,el_mean,el_median,el_stdev,el_min,el_max,el_range,MAT_mean,MAT_median,TAR_mean,TAR_median,Tmin_mean,Tmin_median,Tmax_mean,Tmax_median,BDM_id,Date,Categorie,Plot_id,TypeOfOpen,SoilTemp,Grass,Forb,Shrub,Bare,Litter,Moss,Plot_id_orig,Sample_date
557134,Low,381.0155239,380,6.350562383,363,401,38,112.8791562,113,273.1801618,273,-14.12084385,-14,258.8791562,259,06,20190824,Autre,060105,crop,17.4,3,4,0,1,2,0,060105,24.08.19
557134,Low,381.0155239,380,6.350562383,363,401,38,112.8791562,113,273.1801618,273,-14.12084385,-14,258.8791562,259,06,20190824,ForetConifere,060401,NA,16.7,0,2,2,4,2,2,060401,24.08.19
557134,Low,381.0155239,380,6.350562383,363,401,38,112.8791562,113,273.1801618,273,-14.12084385,-14,258.8791562,259,06,20190824,ForetConifere,060402,NA,16.9,0,1,4,1,3,2,060402,24.08.19
557134,Low,381.0155239,380,6.350562383,363,401,38,112.8791562,113,273.1801618,273,-14.12084385,-14,258.8791562,259,06,20190824,ForetFeuillus,060501,NA,16.9,0,3,4,3,2,0.1,060501,24.08.19
557134,Low,381.0155239,380,6.350562383,363,401,38,112.8791562,113,273.1801618,273,-14.12084385,-14,258.8791562,259,06,20190824,ForetFeuillus,060502,NA,17,0,2,3,4,2,1,060502,24.08.19
557134,Low,381.0155239,380,6.350562383,363,401,38,112.8791562,113,273.1801618,273,-14.12084385,-14,258.8791562,259,06,20190824,ForetMixe,060601,NA,17.5,0,0.1,5,0,0,0,060601,24.08.19
557134,Low,381.0155239,380,6.350562383,363,401,38,112.8791562,113,273.1801618,273,-14.12084385,-14,258.8791562,259,06,20190824,ForetMixe,060602,NA,17,0,1,3,4,2,2,060602,24.08.19
557134,Low,381.0155239,380,6.350562383,363,401,38,112.8791562,113,273.1801618,273,-14.12084385,-14,258.8791562,259,06,20190824,ForetMixe,060603,NA,18,0,2,4,2,2,0.1,060603,24.08.19
557134,Low,381.0155239,380,6.350562383,363,401,38,112.8791562,113,273.1801618,273,-14.12084385,-14,258.8791562,259,06,20190824,lisiere,060901,NA,20.3,2,1,3,1,4,1,060901,24.08.19
557134,Low,381.0155239,380,6.350562383,363,401,38,112.8791562,113,273.1801618,273,-14.12084385,-14,258.8791562,259,06,20190824,transport,061301,NA,22.1,4,3,0,1,1,0,061301,24.08.19
557134,Low,381.0155239,380,6.350562383,363,401,38,112.8791562,113,273.1801618,273,-14.12084385,-14,258.8791562,259,06,20190824,ZoneConstruite,061501,NA,19,2,3,0,3,3,0,061501,24.08.19
